seq,type,uptime_ms,t_us,slot_id,sync,frame_ctr,rssi,snr,tx_done,rx_done,rx_crc_err,rx_bad_header,slot_timeouts,stale_retx,busy_timeouts,rx_ok,missed,dup,payload
153,tx,1935324,0,1,RUNNING,,,,,,,,,,,,,,
154,stats,1935324,8284,0,RUNNING,,0,0,32,35,0,0,0,0,0,35,0,0,
155,tx,1935344,0,1,RUNNING,,,,,,,,,,,,,,
156,tx,1935384,0,1,RUNNING,,,,,,,,,,,,,,
157,rx,1935445,9358135,0,RUNNING,37,-65,8,,,,,,,,,,,
158,tx,1935445,0,1,RUNNING,,,,,,,,,,,,,,
159,tx,1935578,0,1,RUNNING,,,,,,,,,,,,,,
160,rx,1935638,9558134,0,RUNNING,38,-65,8,,,,,,,,,,,
161,tx,1935638,0,1,RUNNING,,,,,,,,,,,,,,
162,tx,1935832,0,1,RUNNING,,,,,,,,,,,,,,
163,rx,1935852,9758134,0,RUNNING,39,-64,8,,,,,,,,,,,
164,tx,1935852,0,1,RUNNING,,,,,,,,,,,,,,
165,tx,1935932,0,1,RUNNING,,,,,,,,,,,,,,
166,rx,1936087,9958120,0,RUNNING,40,-65,7,,,,,,,,,,,
167,tx,1936087,0,1,RUNNING,,,,,,,,,,,,,,
168,tx,1936127,0,1,RUNNING,,,,,,,,,,,,,,
169,tx,1936187,0,1,RUNNING,,,,,,,,,,,,,,
170,rx,1936341,10158135,0,RUNNING,41,-65,7,,,,,,,,,,,
171,tx,1936341,0,1,RUNNING,,,,,,,,,,,,,,
172,stats,1936341,8276,0,RUNNING,,7,75,37,40,0,0,0,0,0,40,0,0,
173,tx,1936381,0,1,RUNNING,,,,,,,,,,,,,,
174,rx,1936441,10358132,0,RUNNING,42,-65,7,,,,,,,,,,,
175,tx,1936441,0,1,RUNNING,,,,,,,,,,,,,,
176,tx,1936595,0,1,RUNNING,,,,,,,,,,,,,,
177,rx,1936635,10558132,0,RUNNING,43,-65,8,,,,,,,,,,,
178,tx,1936635,0,1,RUNNING,,,,,,,,,,,,,,
179,rx,1936848,10758130,0,RUNNING,44,-64,8,,,,,,,,,,,
180,tx,1936848,0,1,RUNNING,,,,,,,,,,,,,,
181,tx,1936929,0,1,RUNNING,,,,,,,,,,,,,,
182,rx,1937102,10958131,0,RUNNING,45,-65,8,,,,,,,,,,,
183,tx,1937102,0,1,RUNNING,,,,,,,,,,,,,,
184,tx,1937142,0,1,RUNNING,,,,,,,,,,,,,,
185,tx,1937183,0,1,RUNNING,,,,,,,,,,,,,,
186,rx,1937357,11158130,0,RUNNING,46,-65,8,,,,,,,,,,,
187,tx,1937357,0,1,RUNNING,,,,,,,,,,,,,,
188,stats,1937357,8275,0,RUNNING,,-1,-5,42,45,0,0,0,0,0,45,0,0,
189,tx,1937377,0,1,RUNNING,,,,,,,,,,,,,,
190,rx,1937437,11358130,0,RUNNING,47,-64,8,,,,,,,,,,,
191,tx,1937437,0,1,RUNNING,,,,,,,,,,,,,,
192,tx,1937610,0,1,RUNNING,,,,,,,,,,,,,,
193,tx,1937630,0,1,RUNNING,,,,,,,,,,,,,,
194,rx,1937651,11558131,0,RUNNING,48,-64,8,,,,,,,,,,,
195,tx,1937651,0,1,RUNNING,,,,,,,,,,,,,,
196,tx,1937731,0,1,RUNNING,,,,,,,,,,,,,,
197,rx,1937864,11758116,0,RUNNING,49,-65,8,,,,,,,,,,,
198,tx,1937864,0,1,RUNNING,,,,,,,,,,,,,,
199,tx,1937945,0,1,RUNNING,,,,,,,,,,,,,,
200,tx,1937985,0,1,RUNNING,,,,,,,,,,,,,,
201,rx,1938118,11958130,0,RUNNING,50,-65,8,,,,,,,,,,,
202,tx,1938118,0,1,RUNNING,,,,,,,,,,,,,,
203,tx,1938138,0,1,RUNNING,,,,,,,,,,,,,,
204,tx,1938178,0,1,RUNNING,,,,,,,,,,,,,,
205,rx,1938238,12158130,0,RUNNING,51,-65,7,,,,,,,,,,,
206,tx,1938238,0,1,RUNNING,,,,,,,,,,,,,,
207,tx,1938371,0,1,RUNNING,,,,,,,,,,,,,,
208,stats,1938371,8289,0,RUNNING,,3,0,47,50,0,0,0,0,0,50,0,0,
209,tx,1938391,0,1,RUNNING,,,,,,,,,,,,,,
210,tx,1938431,0,1,RUNNING,,,,,,,,,,,,,,
211,rx,1938452,12358127,0,RUNNING,52,-65,8,,,,,,,,,,,
212,tx,1938452,0,1,RUNNING,,,,,,,,,,,,,,
213,tx,1938626,0,1,RUNNING,,,,,,,,,,,,,,
214,rx,1938646,12558129,0,RUNNING,53,-64,8,,,,,,,,,,,
215,tx,1938646,0,1,RUNNING,,,,,,,,,,,,,,
216,tx,1938726,0,1,RUNNING,,,,,,,,,,,,,,
217,rx,1938879,12758127,0,RUNNING,54,-64,8,,,,,,,,,,,
218,tx,1938879,0,1,RUNNING,,,,,,,,,,,,,,
219,tx,1938940,0,1,RUNNING,,,,,,,,,,,,,,
220,tx,1938980,0,1,RUNNING,,,,,,,,,,,,,,
221,rx,1939133,12958128,0,RUNNING,55,-65,7,,,,,,,,,,,
222,tx,1939133,0,1,RUNNING,,,,,,,,,,,,,,
223,tx,1939193,0,1,RUNNING,,,,,,,,,,,,,,
224,tx,1939233,0,1,RUNNING,,,,,,,,,,,,,,
225,rx,1939254,13158127,0,RUNNING,56,-64,8,,,,,,,,,,,
226,tx,1939254,0,1,RUNNING,,,,,,,,,,,,,,
227,tx,1939387,0,1,RUNNING,,,,,,,,,,,,,,
228,stats,1939387,8288,0,RUNNING,,-1,-5,52,55,1,0,0,0,0,55,0,0,
229,tx,1939427,0,1,RUNNING,,,,,,,,,,,,,,
230,rx,1939447,13358140,0,RUNNING,57,-65,8,,,,,,,,,,,
231,tx,1939447,0,1,RUNNING,,,,,,,,,,,,,,
232,rx,1939641,13558122,0,RUNNING,58,-64,7,,,,,,,,,,,
233,tx,1939641,0,1,RUNNING,,,,,,,,,,,,,,
234,tx,1939741,0,1,RUNNING,,,,,,,,,,,,,,
235,rx,1939896,13758112,0,RUNNING,59,-65,8,,,,,,,,,,,
236,tx,1939896,0,1,RUNNING,,,,,,,,,,,,,,
237,tx,1939936,0,1,RUNNING,,,,,,,,,,,,,,
238,tx,1939976,0,1,RUNNING,,,,,,,,,,,,,,
239,rx,1940150,13958125,0,RUNNING,60,-64,8,,,,,,,,,,,
240,tx,1940150,0,1,RUNNING,,,,,,,,,,,,,,
241,tx,1940190,0,1,RUNNING,,,,,,,,,,,,,,
242,tx,1940230,0,1,RUNNING,,,,,,,,,,,,,,
243,rx,1940250,14158126,0,RUNNING,61,-63,7,,,,,,,,,,,
244,tx,1940250,0,1,RUNNING,,,,,,,,,,,,,,
245,tx,1940403,0,1,RUNNING,,,,,,,,,,,,,,
246,stats,1940403,8276,0,RUNNING,,4,5,57,60,1,0,0,0,0,60,0,0,
247,rx,1940443,14358080,0,RUNNING,62,-64,8,,,,,,,,,,,
248,tx,1940443,0,1,RUNNING,,,,,,,,,,,,,,
249,rx,1940658,14558124,0,RUNNING,63,-64,8,,,,,,,,,,,
250,tx,1940658,0,1,RUNNING,,,,,,,,,,,,,,
251,tx,1940739,0,1,RUNNING,,,,,,,,,,,,,,
252,tx,1940779,0,1,RUNNING,,,,,,,,,,,,,,
253,rx,1940912,14758124,0,RUNNING,64,-65,8,,,,,,,,,,,
254,tx,1940913,0,1,RUNNING,,,,,,,,,,,,,,
255,tx,1940933,0,1,RUNNING,,,,,,,,,,,,,,
256,tx,1940993,0,1,RUNNING,,,,,,,,,,,,,,
257,tx,1941033,0,1,RUNNING,,,,,,,,,,,,,,
258,rx,1941166,14958124,0,RUNNING,65,-64,8,,,,,,,,,,,
259,tx,1941166,0,1,RUNNING,,,,,,,,,,,,,,
260,tx,1941186,0,1,RUNNING,,,,,,,,,,,,,,
261,tx,1941227,0,1,RUNNING,,,,,,,,,,,,,,
262,rx,1941247,15158125,0,RUNNING,66,-65,8,,,,,,,,,,,
263,tx,1941247,0,1,RUNNING,,,,,,,,,,,,,,
264,tx,1941420,0,1,RUNNING,,,,,,,,,,,,,,
265,stats,1941420,8290,0,RUNNING,,4,5,62,65,1,0,0,0,0,65,0,0,
266,rx,1941440,15358114,0,RUNNING,67,-63,7,,,,,,,,,,,
267,tx,1941440,0,1,RUNNING,,,,,,,,,,,,,,
268,tx,1941541,0,1,RUNNING,,,,,,,,,,,,,,
269,rx,1941675,15558122,0,RUNNING,68,-64,8,,,,,,,,,,,
270,tx,1941675,0,1,RUNNING,,,,,,,,,,,,,,
271,tx,1941735,0,1,RUNNING,,,,,,,,,,,,,,
272,tx,1941775,0,1,RUNNING,,,,,,,,,,,,,,
273,rx,1941929,15758124,0,RUNNING,69,-64,8,,,,,,,,,,,
274,tx,1941929,0,1,RUNNING,,,,,,,,,,,,,,
275,tx,1941989,0,1,RUNNING,,,,,,,,,,,,,,
276,tx,1942029,0,1,RUNNING,,,,,,,,,,,,,,
277,rx,1942049,15958121,0,RUNNING,70,-63,7,,,,,,,,,,,
278,tx,1942049,0,1,RUNNING,,,,,,,,,,,,,,
279,tx,1942183,0,1,RUNNING,,,,,,,,,,,,,,
280,rx,1942244,16158120,0,RUNNING,71,-64,8,,,,,,,,,,,
281,tx,1942244,0,1,RUNNING,,,,,,,,,,,,,,
282,rx,1942437,16358076,0,RUNNING,72,-64,7,,,,,,,,,,,
283,tx,1942437,0,1,RUNNING,,,,,,,,,,,,,,
284,stats,1942437,7687,0,RUNNING,,-45,-128,67,71,1,0,0,0,0,71,0,0,
285,tx,1942538,0,1,RUNNING,,,,,,,,,,,,,,
286,rx,1942692,16558058,0,RUNNING,73,-64,8,,,,,,,,,,,
287,tx,1942692,0,1,RUNNING,,,,,,,,,,,,,,
288,tx,1942733,0,1,RUNNING,,,,,,,,,,,,,,
289,tx,1942793,0,1,RUNNING,,,,,,,,,,,,,,
290,rx,1942947,16758121,0,RUNNING,74,-63,8,,,,,,,,,,,
291,tx,1942947,0,1,RUNNING,,,,,,,,,,,,,,
292,tx,1942988,0,1,RUNNING,,,,,,,,,,,,,,
293,tx,1943028,0,1,RUNNING,,,,,,,,,,,,,,
294,rx,1943048,16958120,0,RUNNING,75,-65,8,,,,,,,,,,,
295,tx,1943048,0,1,RUNNING,,,,,,,,,,,,,,
296,tx,1943201,0,1,RUNNING,,,,,,,,,,,,,,
297,rx,1943242,17158118,0,RUNNING,76,-63,7,,,,,,,,,,,
298,tx,1943242,0,1,RUNNING,,,,,,,,,,,,,,
299,rx,1943456,17358105,0,RUNNING,77,-64,8,,,,,,,,,,,
300,tx,1943456,0,1,RUNNING,,,,,,,,,,,,,,
301,stats,1943456,7723,0,RUNNING,,-9,-65,72,76,1,0,0,0,0,76,0,0,
302,tx,1943536,0,1,RUNNING,,,,,,,,,,,,,,
303,tx,1943576,0,1,RUNNING,,,,,,,,,,,,,,
304,rx,1943713,17558119,0,RUNNING,78,-64,8,,,,,,,,,,,
305,tx,1943713,0,1,RUNNING,,,,,,,,,,,,,,
306,tx,1943733,0,1,RUNNING,,,,,,,,,,,,,,
307,tx,1943793,0,1,RUNNING,,,,,,,,,,,,,,
308,tx,1943833,0,1,RUNNING,,,,,,,,,,,,,,
309,rx,1943967,17758117,0,RUNNING,79,-63,8,,,,,,,,,,,
310,tx,1943967,0,1,RUNNING,,,,,,,,,,,,,,
311,tx,1943987,0,1,RUNNING,,,,,,,,,,,,,,
312,tx,1944027,0,1,RUNNING,,,,,,,,,,,,,,
313,rx,1944047,17958119,0,RUNNING,80,-63,8,,,,,,,,,,,
314,tx,1944048,0,1,RUNNING,,,,,,,,,,,,,,
315,tx,1944221,0,1,RUNNING,,,,,,,,,,,,,,
316,rx,1944241,18158072,0,RUNNING,81,-63,8,,,,,,,,,,,
317,tx,1944241,0,1,RUNNING,,,,,,,,,,,,,,
318,tx,1944341,0,1,RUNNING,,,,,,,,,,,,,,
319,rx,1944476,18358103,0,RUNNING,82,-63,8,,,,,,,,,,,
320,tx,1944476,0,1,RUNNING,,,,,,,,,,,,,,
321,stats,1944476,7740,0,RUNNING,,8,127,77,81,1,0,0,0,0,81,0,0,
322,tx,1944536,0,1,RUNNING,,,,,,,,,,,,,,
323,tx,1944577,0,1,RUNNING,,,,,,,,,,,,,,
324,rx,1944730,18558117,0,RUNNING,83,-64,9,,,,,,,,,,,
325,tx,1944730,0,1,RUNNING,,,,,,,,,,,,,,
326,tx,1944790,0,1,RUNNING,,,,,,,,,,,,,,
327,tx,1944830,0,1,RUNNING,,,,,,,,,,,,,,
328,rx,1944851,18758104,0,RUNNING,84,-64,8,,,,,,,,,,,
329,tx,1944851,0,1,RUNNING,,,,,,,,,,,,,,
330,tx,1944985,0,1,RUNNING,,,,,,,,,,,,,,
331,rx,1945045,18958113,0,RUNNING,85,-64,8,,,,,,,,,,,
332,tx,1945045,0,1,RUNNING,,,,,,,,,,,,,,
333,rx,1945239,19158114,0,RUNNING,86,-64,7,,,,,,,,,,,
334,tx,1945239,0,1,RUNNING,,,,,,,,,,,,,,
335,tx,1945339,0,1,RUNNING,,,,,,,,,,,,,,
336,rx,1945492,19358115,0,RUNNING,87,-64,8,,,,,,,,,,,
337,tx,1945493,0,1,RUNNING,,,,,,,,,,,,,,
338,stats,1945493,8288,0,RUNNING,,4,5,83,86,1,0,0,0,0,86,0,0,
339,tx,1945533,0,1,RUNNING,,,,,,,,,,,,,,
340,tx,1945593,0,1,RUNNING,,,,,,,,,,,,,,
341,rx,1945747,19558115,0,RUNNING,88,-64,8,,,,,,,,,,,
342,tx,1945747,0,1,RUNNING,,,,,,,,,,,,,,
343,tx,1945787,0,1,RUNNING,,,,,,,,,,,,,,
344,tx,1945827,0,1,RUNNING,,,,,,,,,,,,,,
345,rx,1945847,19758114,0,RUNNING,89,-63,9,,,,,,,,,,,
346,tx,1945847,0,1,RUNNING,,,,,,,,,,,,,,
347,tx,1946000,0,1,RUNNING,,,,,,,,,,,,,,
348,rx,1946041,19958114,0,RUNNING,90,-64,8,,,,,,,,,,,
349,tx,1946041,0,1,RUNNING,,,,,,,,,,,,,,
350,rx,1946254,20158099,0,RUNNING,91,-64,8,,,,,,,,,,,
351,tx,1946254,0,1,RUNNING,,,,,,,,,,,,,,
352,tx,1946334,0,1,RUNNING,,,,,,,,,,,,,,
353,rx,1946508,20358113,0,RUNNING,92,-64,8,,,,,,,,,,,
354,tx,1946508,0,1,RUNNING,,,,,,,,,,,,,,
355,stats,1946508,8290,0,RUNNING,,6,70,88,91,1,0,0,0,0,91,0,0,
356,tx,1946528,0,1,RUNNING,,,,,,,,,,,,,,
357,tx,1946588,0,1,RUNNING,,,,,,,,,,,,,,
358,tx,1946629,0,1,RUNNING,,,,,,,,,,,,,,
